id_artista,nombre,genero_musical,pais,cache_eur,email_manager,telefono
art-0050,Ruido Blanco,techno,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '220.687')",ruido.blanco@management.com,+34 603 895 645
art-0118,Fosforescente,Hip-Hop,Argentina,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '269617')",correo sin arroba.com,+34 629 597 483
art-0171,Grafito,JAZZ,Estados Unidos,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '152310')",@dominio.com,+34 612 976 369
art-0178,Nirvana,Metall,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '272,939')",nirvana@yahoo.es,+34671555103
art-0117,Estrépito,ska,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '82568')",estrepito@musica.es,+34 659 330 166
art-0146,Huracán,Electrónic,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '185706')",huracan@management.com,624-464-938
art-0012,Beto Y Los Fugitivos,POP,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '228942')",beto.y.los.fugitivos@gmail.com,614282218
art-0207,Rapsodia,rock,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '198744')",rapsodia@musica.es,0034664343201
art-0113,Canto Rodado,hip-hop,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '164813')",canto.rodado@musica.es,646991504999
art-0055,Pulso Urbano,FOLK,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '135345')",pulso.urbano@hotmail.com,641 746 937
art-0045,Cuarto Creciente,folk,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '293241')",cuarto.creciente@gmail.com,642587
art-0221,CLAVE DE SOL,pop,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '164555€')",tiene espacios @correo.com,0034684187049
art-0161,Wavelength,flamenco,Colombia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '160448')",wavelength@yahoo.es,638 124 318
art-0037,Tercer Acto,Rokc,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '137951')",tercer.acto@yahoo.es,681363974999
art-0054,Destello,R & B,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '22.106')",destello@hotmail.com,0034615353091
art-0140,Bumerán,INDIE,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '197562€')",bumeran@yahoo.es,663-411-827
art-0195,Fénix,Metal,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '257286€')",@dominio.com,+34 675686878
art-0067,Sendero,Techno,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '60814€')",sendero@outlook.com,640 780 112
art-0223,La Máquina,Indie,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '246392')",la.maquina@musica.es,+34635812670
art-0061,Viento Sur,Reguetón,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '136451')",viento.sur@musica.es,+34 632 394 260
art-0165,Atardecer,hip hop,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '39.258')",atardecer@hotmail.com,+34641954112
art-0109,Coral,ELECTRONICA,Chile,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '288496')",coral@outlook.com,613 311 507
art-0147,Ícaro,Pop,Brasil,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '240955')",-,672884
art-0130,Relámpago,CUMBIA,Portugal,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '28454')",relampago@management.com,633-822-301
art-0145,Géminis,INDIE,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '133985')",geminis@yahoo.es,+34678101741
art-0052,Alma Libre,electronica,República Dominicana,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '243,062')",alma.libre@yahoo.es,650885459
art-0013,Alma Negra,techno,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '267161')",alma.negra@hotmail.com,+34600076758
art-0030,Impulso,Cumbia,Italia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '139403')",impulso@yahoo.es,+34 605917225
art-0144,Fulgor,Flamenco,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '36483')",fulgor@musica.es,
art-0220,Tercer Acto,Rokc,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '137951')",tercer.acto@yahoo.es,681363974999
art-0184,Tundra,flamenco,Venezuela,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '83,806')",tundra@outlook.com,0034612007214
art-0222,Amanecer,REGGAETON,México,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '293590')",correo sin arroba.com,659421007
art-0011,La Máquina,Indie,Francia,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '246392')",la.maquina@musica.es,+34635812670
art-0119,Galaxia,salsa,España,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '5,030')",galaxia@hotmail.com,
art-0058,OASIS SONORO,Kunbia,Perú,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '7633')",oasis.sonoro@outlook.com,687302916
art-0210,Urano,POP,Cuba,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '247148')",urano@yahoo.es,629-698-906
art-0006,THE ELECTRIC SHEEP,Hip-Hop,Reino Unido,"(<function limpiar_valor_numerico at 0x00000190306BF560>, '192277')",the.electric.sheep@yahoo.es,0034697861742
